Entry Type,Parent Allergy (English),English,French,Spanish,German,Italian,Portuguese,Dutch,Polish
Synonym,Azo and warning food colours,carmoisine,,,,,,,
Synonym,Azo and warning food colours,azorubine,,,,,,,
Synonym,Azo and warning food colours,ponceau 4r,,,,,,,
Synonym,Azo and warning food colours,allura red,,,,,,,
Synonym,Azo and warning food colours,E102,,,,,,,
Synonym,Azo and warning food colours,E 102,,,,,,,
Synonym,Azo and warning food colours,E104,,,,,,,
Synonym,Azo and warning food colours,E 104,,,,,,,
Synonym,Azo and warning food colours,E110,,,,,,,
Synonym,Azo and warning food colours,E 110,,,,,,,
Synonym,Azo and warning food colours,E122,,,,,,,
Synonym,Azo and warning food colours,E 122,,,,,,,
Synonym,Azo and warning food colours,E124,,,,,,,
Synonym,Azo and warning food colours,E 124,,,,,,,
Synonym,Azo and warning food colours,E129,,,,,,,
Synonym,Azo and warning food colours,E 129,,,,,,,
Synonym,Benzoates (E210-E219),benzoic acid,,,,,,,
Synonym,Benzoates (E210-E219),benzoate,,,,,,,
Synonym,Benzoates (E210-E219),benzoates,,,,,,,
Synonym,Benzoates (E210-E219),sodium benzoate,,,,,,,
Synonym,Benzoates (E210-E219),potassium benzoate,,,,,,,
Synonym,Benzoates (E210-E219),calcium benzoate,,,,,,,
Synonym,Benzoates (E210-E219),E210,,,,,,,
Synonym,Benzoates (E210-E219),E 210,,,,,,,
Synonym,Benzoates (E210-E219),E211,,,,,,,
Synonym,Benzoates (E210-E219),E 211,,,,,,,
Synonym,Benzoates (E210-E219),E212,,,,,,,
Synonym,Benzoates (E210-E219),E 212,,,,,,,
Synonym,Benzoates (E210-E219),E213,,,,,,,
Synonym,Benzoates (E210-E219),E 213,,,,,,,
Synonym,Benzoates (E210-E219),E214,,,,,,,
Synonym,Benzoates (E210-E219),E 214,,,,,,,
Synonym,Benzoates (E210-E219),E215,,,,,,,
Synonym,Benzoates (E210-E219),E 215,,,,,,,
Synonym,Benzoates (E210-E219),E216,,,,,,,
Synonym,Benzoates (E210-E219),E 216,,,,,,,
Synonym,Benzoates (E210-E219),E217,,,,,,,
Synonym,Benzoates (E210-E219),E 217,,,,,,,
Synonym,Benzoates (E210-E219),E218,,,,,,,
Synonym,Benzoates (E210-E219),E 218,,,,,,,
Synonym,Benzoates (E210-E219),E219,,,,,,,
Synonym,Benzoates (E210-E219),E 219,,,,,,,
Synonym,Sorbates (E200-E203),sorbic acid,,,,,,,
Synonym,Sorbates (E200-E203),sorbate,,,,,,,
Synonym,Sorbates (E200-E203),sorbates,,,,,,,
Synonym,Sorbates (E200-E203),potassium sorbate,,,,,,,
Synonym,Sorbates (E200-E203),calcium sorbate,,,,,,,
Synonym,Sorbates (E200-E203),E200,,,,,,,
Synonym,Sorbates (E200-E203),E 200,,,,,,,
Synonym,Sorbates (E200-E203),E201,,,,,,,
Synonym,Sorbates (E200-E203),E 201,,,,,,,
Synonym,Sorbates (E200-E203),E202,,,,,,,
Synonym,Sorbates (E200-E203),E 202,,,,,,,
Synonym,Sorbates (E200-E203),E203,,,,,,,
Synonym,Sorbates (E200-E203),E 203,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),nitrite,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),nitrites,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),nitrate,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),nitrates,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),potassium nitrite,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),sodium nitrite,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),sodium nitrate,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),potassium nitrate,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E249,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E 249,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E250,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E 250,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E251,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E 251,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E252,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E 252,,,,,,,
Synonym,Glutamates and MSG (E620-E625),glutamic acid,,,,,,,
Synonym,Glutamates and MSG (E620-E625),glutamate,,,,,,,
Synonym,Glutamates and MSG (E620-E625),glutamates,,,,,,,
Synonym,Glutamates and MSG (E620-E625),monosodium glutamate,,,,,,,
Synonym,Glutamates and MSG (E620-E625),msg,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E620,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E 620,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E621,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E 621,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E622,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E 622,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E623,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E 623,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E624,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E 624,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E625,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E 625,,,,,,,
Synonym,Modified starches (E1404-E1452),modified starch,,,,,,,
Synonym,Modified starches (E1404-E1452),oxidised starch,,,,,,,
Synonym,Modified starches (E1404-E1452),monostarch phosphate,,,,,,,
Synonym,Modified starches (E1404-E1452),distarch phosphate,,,,,,,
Synonym,Modified starches (E1404-E1452),phosphated distarch phosphate,,,,,,,
Synonym,Modified starches (E1404-E1452),acetylated distarch phosphate,,,,,,,
Synonym,Modified starches (E1404-E1452),hydroxypropyl starch,,,,,,,
Synonym,Modified starches (E1404-E1452),hydroxypropyl distarch phosphate,,,,,,,
Synonym,Modified starches (E1404-E1452),starch sodium octenyl succinate,,,,,,,
Synonym,Modified starches (E1404-E1452),acetylated oxidised starch,,,,,,,
Synonym,Modified starches (E1404-E1452),E1404,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1404,,,,,,,
Synonym,Modified starches (E1404-E1452),E1410,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1410,,,,,,,
Synonym,Modified starches (E1404-E1452),E1412,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1412,,,,,,,
Synonym,Modified starches (E1404-E1452),E1413,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1413,,,,,,,
Synonym,Modified starches (E1404-E1452),E1414,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1414,,,,,,,
Synonym,Modified starches (E1404-E1452),E1420,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1420,,,,,,,
Synonym,Modified starches (E1404-E1452),E1422,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1422,,,,,,,
Synonym,Modified starches (E1404-E1452),E1440,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1440,,,,,,,
Synonym,Modified starches (E1404-E1452),E1442,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1442,,,,,,,
Synonym,Modified starches (E1404-E1452),E1450,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1450,,,,,,,
Synonym,Modified starches (E1404-E1452),E1451,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1451,,,,,,,
Synonym,Modified starches (E1404-E1452),E1452,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1452,,,,,,,
Synonym,Guar gum (E412),guar,,,,,,,
Synonym,Guar gum (E412),guar gum,,,,,,,
Synonym,Guar gum (E412),E412,,,,,,,
Synonym,Guar gum (E412),E 412,,,,,,,
Synonym,Locust bean gum (E410),carob gum,,,,,,,
Synonym,Locust bean gum (E410),locust bean gum,,,,,,,
Synonym,Locust bean gum (E410),E410,,,,,,,
Synonym,Locust bean gum (E410),E 410,,,,,,,
Synonym,Acacia gum (E414),acacia,,,,,,,
Synonym,Acacia gum (E414),gum arabic,,,,,,,
Synonym,Acacia gum (E414),acacia gum,,,,,,,
Synonym,Acacia gum (E414),E414,,,,,,,
Synonym,Acacia gum (E414),E 414,,,,,,,
Synonym,Carrageenan (E407),carrageenan,,,,,,,
Synonym,Carrageenan (E407),carrageenin,,,,,,,
Synonym,Carrageenan (E407),E407,,,,,,,
Synonym,Carrageenan (E407),E 407,,,,,,,
Synonym,Lysozyme (E1105),lysozyme,,,,,,,
Synonym,Lysozyme (E1105),egg lysozyme,,,,,,,
Synonym,Lysozyme (E1105),E1105,,,,,,,
Synonym,Lysozyme (E1105),E 1105,,,,,,,
