Entry Type,Parent Allergy (English),English,French,Spanish,German,Italian,Portuguese,Dutch,Polish
Allergy,Crustaceans,Crustaceans,Crustaces,Crustaceos,Krebstiere,Crostacei,Crustaceos,Schaaldieren,Skorupiaki
Synonym,Crustaceans,crab,,,,,,,
Synonym,Crustaceans,crayfish,,,,,,,
Synonym,Crustaceans,lobster,,,,,,,
Synonym,Crustaceans,prawn,,,,,,,
Synonym,Crustaceans,shrimp,,,,,,,
Allergy,Eggs,Eggs,Oeufs,Huevos,Eier,Uova,Ovos,Eieren,Jaja
Synonym,Eggs,egg,Oeufs,Huevos,Eier,Uova,Ovos,Eieren,Jaja
Synonym,Eggs,albumen,,,,,,,
Allergy,Fish,Fish,Poisson,Pescado,Fisch,Pesce,Peixe,Vis,Ryby
Synonym,Fish,anchovy,,,,,,,
Synonym,Fish,cod,,,,,,,
Synonym,Fish,haddock,,,,,,,
Synonym,Fish,salmon,,,,,,,
Synonym,Fish,tuna,,,,,,,
Allergy,Garlic,Garlic,Ail,Ajo,Knoblauch,Aglio,Alho,Knoflook,Czosnek
Synonym,Garlic,garlic powder,,,,,,,
Allergy,Hazelnuts,Hazelnuts,Noisettes,Avellanas,Haselnuesse,Nocciole,Avelas,Hazelnoten,Orzechy laskowe
Synonym,Hazelnuts,hazelnut,Noisettes,Avellanas,Haselnuesse,Nocciole,Avelas,Hazelnoten,Orzechy laskowe
Allergy,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi
Synonym,Kiwi,kiwifruit,,,,,,,
Allergy,Latex-associated foods,Latex-associated foods,Aliments associes au latex,Alimentos asociados al latex,Latex-assoziierte Lebensmittel,Alimenti associati al lattice,Alimentos associados ao latex,Latex-gerelateerde voedingsmiddelen,Pokarmy zwiazane z lateksem
Synonym,Latex-associated foods,avocado,Avocat,Aguacate,Avocado,Avocado,Abacate,Avocado,Awokado
Synonym,Latex-associated foods,banana,Bananes,Platanos,Bananen,Banane,Bananas,Bananen,Banany
Synonym,Latex-associated foods,chestnut,,,,,,,
Synonym,Latex-associated foods,kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi
Allergy,Lentils,Lentils,Lentilles,Lentejas,Linsen,Lenticchie,Lentilhas,Linzen,Soczewica
Synonym,Lentils,lentil,Lentilles,Lentejas,Linsen,Lenticchie,Lentilhas,Linzen,Soczewica
Synonym,Lentils,red lentil,,,,,,,
Synonym,Lentils,green lentil,,,,,,,
Allergy,Legumes and pulses,Legumes and pulses,Legumineuses,Legumbres,Hulsenfruechte,Legumi,Leguminosas,Peulvruchten,Rosliny straczkowe
Synonym,Legumes and pulses,bean,Haricots,Judias,Bohnen,Fagioli,Feijoes,Bonen,Fasola
Synonym,Legumes and pulses,beans,Haricots,Judias,Bohnen,Fagioli,Feijoes,Bonen,Fasola
Synonym,Legumes and pulses,chickpea,Pois chiches,Garbanzos,Kichererbsen,Ceci,Grao-de-bico,Kikkererwten,Ciecierzyca
Synonym,Legumes and pulses,chickpeas,Pois chiches,Garbanzos,Kichererbsen,Ceci,Grao-de-bico,Kikkererwten,Ciecierzyca
Synonym,Legumes and pulses,lentil,Lentilles,Lentejas,Linsen,Lenticchie,Lentilhas,Linzen,Soczewica
Synonym,Legumes and pulses,lentils,Lentilles,Lentejas,Linsen,Lenticchie,Lentilhas,Linzen,Soczewica
Synonym,Legumes and pulses,pea,Pois,Guisantes,Erbsen,Piselli,Ervilhas,Erwten,Groch
Synonym,Legumes and pulses,peas,Pois,Guisantes,Erbsen,Piselli,Ervilhas,Erwten,Groch
Synonym,Legumes and pulses,pulse,,,,,,,
Synonym,Legumes and pulses,pulses,,,,,,,
Allergy,Lupin,Lupin,Lupin,Altramuz,Lupine,Lupino,Tremoco,Lupine,Lubin
Synonym,Lupin,lupine,,,,,,,
Allergy,Macadamia nuts,Macadamia nuts,Noix de macadamia,Nueces de macadamia,Macadamianuesse,Noci di macadamia,Nozes de macadamia,Macadamianoten,Orzechy makadamia
Synonym,Macadamia nuts,macadamia,,,,,,,
Synonym,Macadamia nuts,macadamia nut,Noix de macadamia,Nueces de macadamia,Macadamianuesse,Noci di macadamia,Nozes de macadamia,Macadamianoten,Orzechy makadamia
Allergy,Milk,Milk,Lait,Leche,Milch,Latte,Leite,Melk,Mleko
Synonym,Milk,casein,,,,,,,
Synonym,Milk,lactose,,,,,,,
Synonym,Milk,whey,,,,,,,
Allergy,Molluscs,Molluscs,Mollusques,Moluscos,Weichtiere,Molluschi,Moluscos,Weekdieren,Mieczaki
Synonym,Molluscs,clam,,,,,,,
Synonym,Molluscs,mussel,,,,,,,
Synonym,Molluscs,oyster,,,,,,,
Synonym,Molluscs,scallop,,,,,,,
Synonym,Molluscs,squid,,,,,,,
Allergy,Mustard,Mustard,Moutarde,Mostaza,Senf,Senape,Mostarda,Mosterd,Gorczyca
Synonym,Mustard,mustard seed,,,,,,,
Allergy,Oats,Oats,Avoine,Avena,Hafer,Avena,Aveia,Haver,Owies
Synonym,Oats,oat,Avoine,Avena,Hafer,Avena,Aveia,Haver,Owies
Synonym,Oats,oatmeal,,,,,,,
Allergy,Onion,Onion,Oignon,Cebolla,Zwiebel,Cipolla,Cebola,Ui,Cebula
Synonym,Onion,onions,Oignon,Cebolla,Zwiebel,Cipolla,Cebola,Ui,Cebula
Synonym,Onion,onion powder,,,,,,,
Allergy,Peas,Peas,Pois,Guisantes,Erbsen,Piselli,Ervilhas,Erwten,Groch
Synonym,Peas,pea,Pois,Guisantes,Erbsen,Piselli,Ervilhas,Erwten,Groch
Synonym,Peas,pea protein,,,,,,,
Allergy,Peanuts,Peanuts,Arachides | Cacahuetes,Cacahuetes,Erdnuesse,Arachidi,Amendoins,Pindas,Orzeszki ziemne
Synonym,Peanuts,peanut,Arachides | Cacahuetes,Cacahuetes,Erdnuesse,Arachidi,Amendoins,Pindas,Orzeszki ziemne
Synonym,Peanuts,groundnut,,,,,,,
Allergy,Pecans,Pecans,Noix de pecan,Nueces pecanas,Pekannuesse,Noci pecan,Nozes-peca,Pecannoten,Orzechy pekan
Synonym,Pecans,pecan,Noix de pecan,Nueces pecanas,Pekannuesse,Noci pecan,Nozes-peca,Pecannoten,Orzechy pekan
Allergy,Pine nuts,Pine nuts,Pignons de pin,Pinones,Pinienkerne,Pinoli,Pinhoes,Pijnboompitten,Orzeszki piniowe
Synonym,Pine nuts,pine nut,Pignons de pin,Pinones,Pinienkerne,Pinoli,Pinhoes,Pijnboompitten,Orzeszki piniowe
Allergy,Pistachios,Pistachios,Pistaches,Pistachos,Pistazien,Pistacchi,Pistacios,Pistachenoten,Pistacje
Synonym,Pistachios,pistachio,Pistaches,Pistachos,Pistazien,Pistacchi,Pistacios,Pistachenoten,Pistacje
Allergy,Pork,Pork,Porc,Cerdo,Schweinefleisch,Maiale,Porco,Varkensvlees,Wieprzowina
Synonym,Pork,porcine,,,,,,,
Synonym,Pork,pork gelatin,,,,,,,
Synonym,Pork,pork gelatine,,,,,,,
Allergy,Potatoes,Potatoes,Pommes de terre,Patatas,Kartoffeln,Patate,Batatas,Aardappelen,Ziemniaki
Synonym,Potatoes,potato,,,,,,,
Synonym,Potatoes,potato starch,,,,,,,
Allergy,Rice,Rice,Riz,Arroz,Reis,Riso,Arroz,Rijst,Ryz
Synonym,Rice,rice flour,,,,,,,
Synonym,Rice,rice starch,,,,,,,
Allergy,Seeds,Seeds,Graines,Semillas,Samen,Semi,Sementes,Zaden,Nasiona
Synonym,Seeds,chia,,,,,,,
Synonym,Seeds,flax,,,,,,,
Synonym,Seeds,linseed,,,,,,,
Synonym,Seeds,poppy seed,,,,,,,
Synonym,Seeds,pumpkin seed,,,,,,,
Synonym,Seeds,sunflower seed,,,,,,,
Allergy,Sesame,Sesame,Sesame,Sesamo,Sesam,Sesamo,Sesamo,Sesam,Sezam
Synonym,Sesame,sesame seed,,,,,,,
Synonym,Sesame,tahini,,,,,,,
Allergy,Shellfish,Shellfish,Fruits de mer,Marisco,Schalentiere,Frutti di mare,Marisco,Schaal- en schelpdieren,Owoce morza
Synonym,Shellfish,crustacean,Crustaces,Crustaceos,Krebstiere,Crostacei,Crustaceos,Schaaldieren,Skorupiaki
Synonym,Shellfish,crustaceans,Crustaces,Crustaceos,Krebstiere,Crostacei,Crustaceos,Schaaldieren,Skorupiaki
Synonym,Shellfish,mollusc,Mollusques,Moluscos,Weichtiere,Molluschi,Moluscos,Weekdieren,Mieczaki
Synonym,Shellfish,molluscs,Mollusques,Moluscos,Weichtiere,Molluschi,Moluscos,Weekdieren,Mieczaki
Allergy,Soya,Soya,Soja,Soja,Soja,Soia,Soja,Soja,Soja
Synonym,Soya,soy,,,,,,,
Synonym,Soya,soybean,,,,,,,
Allergy,Strawberries,Strawberries,Fraises,Fresas,Erdbeeren,Fragole,Morangos,Aardbeien,Truskawki
Synonym,Strawberries,strawberry,Fraises,Fresas,Erdbeeren,Fragole,Morangos,Aardbeien,Truskawki
Allergy,Sulphur dioxide and sulphites,Sulphur dioxide and sulphites,Dioxyde de soufre et sulfites,Dioxido de azufre y sulfitos,Schwefeldioxid und Sulfite,Anidride solforosa e solfiti,Dioxido de enxofre e sulfitos,Zwaveldioxide en sulfieten,Dwutlenek siarki i siarczyny
Synonym,Sulphur dioxide and sulphites,sulfites,,,,,,,
Synonym,Sulphur dioxide and sulphites,sulphites,,,,,,,
Allergy,Sunflower,Sunflower,Tournesol,Girasol,Sonnenblume,Girasole,Girassol,Zonnebloem,Slonecznik
Synonym,Sunflower,sunflower seed,,,,,,,
Synonym,Sunflower,sunflower oil,,,,,,,
Allergy,Tomatoes,Tomatoes,Tomates,Tomates,Tomaten,Pomodori,Tomates,Tomaten,Pomidory
Synonym,Tomatoes,tomato,,,,,,,
Allergy,Tree nuts,Tree nuts,Fruits a coque,Frutos de cascara,Schalenfruechte,Frutta a guscio,Frutos de casca rija,Noten,Orzechy drzewne
Synonym,Tree nuts,almond,Amandes,Almendras,Mandeln,Mandorle,Amendoas,Amandelen,Migdały
Synonym,Tree nuts,brazil nut,Noix du Bresil,Nueces de Brasil,Paranuesse,Noci del Brasile,Castanhas-do-para,Paranoten,Orzechy brazylijskie
Synonym,Tree nuts,cashew,Noix de cajou,Anacardos,Cashewnuesse,Anacardi,Cajus,Cashewnoten,Orzechy nerkowca
Synonym,Tree nuts,hazelnut,Noisettes,Avellanas,Haselnuesse,Nocciole,Avelas,Hazelnoten,Orzechy laskowe
Synonym,Tree nuts,macadamia,,,,,,,
Synonym,Tree nuts,pecan,Noix de pecan,Nueces pecanas,Pekannuesse,Noci pecan,Nozes-peca,Pecannoten,Orzechy pekan
Synonym,Tree nuts,pistachio,Pistaches,Pistachos,Pistazien,Pistacchi,Pistacios,Pistachenoten,Pistacje
Synonym,Tree nuts,walnut,Noix,Nueces,Walnuesse,Noci,Nozes,Walnoten,Orzechy wloskie
Allergy,Walnuts,Walnuts,Noix,Nueces,Walnuesse,Noci,Nozes,Walnoten,Orzechy wloskie
Synonym,Walnuts,walnut,Noix,Nueces,Walnuesse,Noci,Nozes,Walnoten,Orzechy wloskie
Allergy,Wheat,Wheat,Ble,Trigo,Weizen,Grano,Trigo,Tarwe,Pszenica
Synonym,Wheat,bran,,,,,,,
Synonym,Wheat,bulgur,,,,,,,
Synonym,Wheat,couscous,,,,,,,
Synonym,Wheat,durum,,,,,,,
Synonym,Wheat,semolina,,,,,,,
Allergy,Sulphites (E220-E228),Sulphites (E220-E228),,,,,,,
Synonym,Sulphites (E220-E228),sulphur dioxide,,,,,,,
Synonym,Sulphites (E220-E228),sulfur dioxide,,,,,,,
Synonym,Sulphites (E220-E228),sulphite,,,,,,,
Synonym,Sulphites (E220-E228),sulphites,,,,,,,
Synonym,Sulphites (E220-E228),sulfite,,,,,,,
Synonym,Sulphites (E220-E228),sulfites,,,,,,,
Synonym,Sulphites (E220-E228),E220,,,,,,,
Synonym,Sulphites (E220-E228),E 220,,,,,,,
Synonym,Sulphites (E220-E228),E221,,,,,,,
Synonym,Sulphites (E220-E228),E 221,,,,,,,
Synonym,Sulphites (E220-E228),E222,,,,,,,
Synonym,Sulphites (E220-E228),E 222,,,,,,,
Synonym,Sulphites (E220-E228),E223,,,,,,,
Synonym,Sulphites (E220-E228),E 223,,,,,,,
Synonym,Sulphites (E220-E228),E224,,,,,,,
Synonym,Sulphites (E220-E228),E 224,,,,,,,
Synonym,Sulphites (E220-E228),E225,,,,,,,
Synonym,Sulphites (E220-E228),E 225,,,,,,,
Synonym,Sulphites (E220-E228),E226,,,,,,,
Synonym,Sulphites (E220-E228),E 226,,,,,,,
Synonym,Sulphites (E220-E228),E227,,,,,,,
Synonym,Sulphites (E220-E228),E 227,,,,,,,
Synonym,Sulphites (E220-E228),E228,,,,,,,
Synonym,Sulphites (E220-E228),E 228,,,,,,,
Allergy,Lecithins (E322),Lecithins (E322),,,,,,,
Synonym,Lecithins (E322),lecithin,,,,,,,
Synonym,Lecithins (E322),egg lecithin,,,,,,,
Synonym,Lecithins (E322),soya lecithin,,,,,,,
Synonym,Lecithins (E322),soy lecithin,,,,,,,
Synonym,Lecithins (E322),sunflower lecithin,,,,,,,
Synonym,Lecithins (E322),E322,,,,,,,
Synonym,Lecithins (E322),E 322,,,,,,,
Allergy,Gelatine (E441),Gelatine (E441),,,,,,,
Synonym,Gelatine (E441),gelatin,,,,,,,
Synonym,Gelatine (E441),gelatine,,,,,,,
Synonym,Gelatine (E441),beef gelatine,,,,,,,
Synonym,Gelatine (E441),fish gelatine,,,,,,,
Synonym,Gelatine (E441),pork gelatine,,,,,,,
Synonym,Gelatine (E441),E441,,,,,,,
Synonym,Gelatine (E441),E 441,,,,,,,
Allergy,Cochineal and carmine (E120),Cochineal and carmine (E120),,,,,,,
Synonym,Cochineal and carmine (E120),cochineal,,,,,,,
Synonym,Cochineal and carmine (E120),carmine,,,,,,,
Synonym,Cochineal and carmine (E120),carminic acid,,,,,,,
Synonym,Cochineal and carmine (E120),E120,,,,,,,
Synonym,Cochineal and carmine (E120),E 120,,,,,,,
Allergy,Carotenes (E160a),Carotenes (E160a),,,,,,,
Synonym,Carotenes (E160a),carotene,,,,,,,
Synonym,Carotenes (E160a),carotenes,,,,,,,
Synonym,Carotenes (E160a),alpha-carotene,,,,,,,
Synonym,Carotenes (E160a),beta-carotene,,,,,,,
Synonym,Carotenes (E160a),E160a,,,,,,,
Synonym,Carotenes (E160a),E 160a,,,,,,,
Allergy,Annatto (E160b),Annatto (E160b),,,,,,,
Synonym,Annatto (E160b),annatto,,,,,,,
Synonym,Annatto (E160b),bixin,,,,,,,
Synonym,Annatto (E160b),norbixin,,,,,,,
Synonym,Annatto (E160b),E160b,,,,,,,
Synonym,Annatto (E160b),E 160b,,,,,,,
Allergy,Paprika extract (E160c),Paprika extract (E160c),,,,,,,
Synonym,Paprika extract (E160c),paprika,,,,,,,
Synonym,Paprika extract (E160c),paprika extract,,,,,,,
Synonym,Paprika extract (E160c),capsanthin,,,,,,,
Synonym,Paprika extract (E160c),capsorubin,,,,,,,
Synonym,Paprika extract (E160c),E160c,,,,,,,
Synonym,Paprika extract (E160c),E 160c,,,,,,,
Allergy,Lycopene (E160d),Lycopene (E160d),,,,,,,
Synonym,Lycopene (E160d),lycopene,,,,,,,
Synonym,Lycopene (E160d),E160d,,,,,,,
Synonym,Lycopene (E160d),E 160d,,,,,,,
Allergy,Beta-apo-carotenals (E160e-E160f),Beta-apo-carotenals (E160e-E160f),,,,,,,
Synonym,Beta-apo-carotenals (E160e-E160f),beta-apo-8'-carotenal,,,,,,,
Synonym,Beta-apo-carotenals (E160e-E160f),ethyl ester of beta-apo-8'-carotenoic acid,,,,,,,
Synonym,Beta-apo-carotenals (E160e-E160f),E160e,,,,,,,
Synonym,Beta-apo-carotenals (E160e-E160f),E 160e,,,,,,,
Synonym,Beta-apo-carotenals (E160e-E160f),E160f,,,,,,,
Synonym,Beta-apo-carotenals (E160e-E160f),E 160f,,,,,,,
Allergy,Tocopherols (E306-E309),Tocopherols (E306-E309),,,,,,,
Synonym,Tocopherols (E306-E309),tocopherol,,,,,,,
Synonym,Tocopherols (E306-E309),tocopherols,,,,,,,
Synonym,Tocopherols (E306-E309),vitamin e,,,,,,,
Synonym,Tocopherols (E306-E309),E306,,,,,,,
Synonym,Tocopherols (E306-E309),E 306,,,,,,,
Synonym,Tocopherols (E306-E309),E307,,,,,,,
Synonym,Tocopherols (E306-E309),E 307,,,,,,,
Synonym,Tocopherols (E306-E309),E308,,,,,,,
Synonym,Tocopherols (E306-E309),E 308,,,,,,,
Synonym,Tocopherols (E306-E309),E309,,,,,,,
Synonym,Tocopherols (E306-E309),E 309,,,,,,,
Allergy,Azo and warning food colours,Azo and warning food colours,,,,,,,
Synonym,Azo and warning food colours,tartrazine,,,,,,,
Synonym,Azo and warning food colours,quinoline yellow,,,,,,,
Synonym,Azo and warning food colours,sunset yellow,,,,,,,
Synonym,Azo and warning food colours,carmoisine,,,,,,,
Synonym,Azo and warning food colours,azorubine,,,,,,,
Synonym,Azo and warning food colours,ponceau 4r,,,,,,,
Synonym,Azo and warning food colours,allura red,,,,,,,
Synonym,Azo and warning food colours,E102,,,,,,,
Synonym,Azo and warning food colours,E 102,,,,,,,
Synonym,Azo and warning food colours,E104,,,,,,,
Synonym,Azo and warning food colours,E 104,,,,,,,
Synonym,Azo and warning food colours,E110,,,,,,,
Synonym,Azo and warning food colours,E 110,,,,,,,
Synonym,Azo and warning food colours,E122,,,,,,,
Synonym,Azo and warning food colours,E 122,,,,,,,
Synonym,Azo and warning food colours,E124,,,,,,,
Synonym,Azo and warning food colours,E 124,,,,,,,
Synonym,Azo and warning food colours,E129,,,,,,,
Synonym,Azo and warning food colours,E 129,,,,,,,
Allergy,Benzoates (E210-E219),Benzoates (E210-E219),,,,,,,
Synonym,Benzoates (E210-E219),benzoic acid,,,,,,,
Synonym,Benzoates (E210-E219),benzoate,,,,,,,
Synonym,Benzoates (E210-E219),benzoates,,,,,,,
Synonym,Benzoates (E210-E219),sodium benzoate,,,,,,,
Synonym,Benzoates (E210-E219),potassium benzoate,,,,,,,
Synonym,Benzoates (E210-E219),calcium benzoate,,,,,,,
Synonym,Benzoates (E210-E219),E210,,,,,,,
Synonym,Benzoates (E210-E219),E 210,,,,,,,
Synonym,Benzoates (E210-E219),E211,,,,,,,
Synonym,Benzoates (E210-E219),E 211,,,,,,,
Synonym,Benzoates (E210-E219),E212,,,,,,,
Synonym,Benzoates (E210-E219),E 212,,,,,,,
Synonym,Benzoates (E210-E219),E213,,,,,,,
Synonym,Benzoates (E210-E219),E 213,,,,,,,
Synonym,Benzoates (E210-E219),E214,,,,,,,
Synonym,Benzoates (E210-E219),E 214,,,,,,,
Synonym,Benzoates (E210-E219),E215,,,,,,,
Synonym,Benzoates (E210-E219),E 215,,,,,,,
Synonym,Benzoates (E210-E219),E216,,,,,,,
Synonym,Benzoates (E210-E219),E 216,,,,,,,
Synonym,Benzoates (E210-E219),E217,,,,,,,
Synonym,Benzoates (E210-E219),E 217,,,,,,,
Synonym,Benzoates (E210-E219),E218,,,,,,,
Synonym,Benzoates (E210-E219),E 218,,,,,,,
Synonym,Benzoates (E210-E219),E219,,,,,,,
Synonym,Benzoates (E210-E219),E 219,,,,,,,
Allergy,Sorbates (E200-E203),Sorbates (E200-E203),,,,,,,
Synonym,Sorbates (E200-E203),sorbic acid,,,,,,,
Synonym,Sorbates (E200-E203),sorbate,,,,,,,
Synonym,Sorbates (E200-E203),sorbates,,,,,,,
Synonym,Sorbates (E200-E203),potassium sorbate,,,,,,,
Synonym,Sorbates (E200-E203),calcium sorbate,,,,,,,
Synonym,Sorbates (E200-E203),E200,,,,,,,
Synonym,Sorbates (E200-E203),E 200,,,,,,,
Synonym,Sorbates (E200-E203),E201,,,,,,,
Synonym,Sorbates (E200-E203),E 201,,,,,,,
Synonym,Sorbates (E200-E203),E202,,,,,,,
Synonym,Sorbates (E200-E203),E 202,,,,,,,
Synonym,Sorbates (E200-E203),E203,,,,,,,
Synonym,Sorbates (E200-E203),E 203,,,,,,,
Allergy,Nitrates and nitrites (E249-E252),Nitrates and nitrites (E249-E252),,,,,,,
Synonym,Nitrates and nitrites (E249-E252),nitrite,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),nitrites,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),nitrate,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),nitrates,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),potassium nitrite,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),sodium nitrite,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),sodium nitrate,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),potassium nitrate,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E249,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E 249,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E250,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E 250,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E251,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E 251,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E252,,,,,,,
Synonym,Nitrates and nitrites (E249-E252),E 252,,,,,,,
Allergy,Glutamates and MSG (E620-E625),Glutamates and MSG (E620-E625),,,,,,,
Synonym,Glutamates and MSG (E620-E625),glutamic acid,,,,,,,
Synonym,Glutamates and MSG (E620-E625),glutamate,,,,,,,
Synonym,Glutamates and MSG (E620-E625),glutamates,,,,,,,
Synonym,Glutamates and MSG (E620-E625),monosodium glutamate,,,,,,,
Synonym,Glutamates and MSG (E620-E625),msg,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E620,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E 620,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E621,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E 621,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E622,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E 622,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E623,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E 623,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E624,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E 624,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E625,,,,,,,
Synonym,Glutamates and MSG (E620-E625),E 625,,,,,,,
Allergy,Modified starches (E1404-E1452),Modified starches (E1404-E1452),,,,,,,
Synonym,Modified starches (E1404-E1452),modified starch,,,,,,,
Synonym,Modified starches (E1404-E1452),oxidised starch,,,,,,,
Synonym,Modified starches (E1404-E1452),monostarch phosphate,,,,,,,
Synonym,Modified starches (E1404-E1452),distarch phosphate,,,,,,,
Synonym,Modified starches (E1404-E1452),phosphated distarch phosphate,,,,,,,
Synonym,Modified starches (E1404-E1452),acetylated distarch phosphate,,,,,,,
Synonym,Modified starches (E1404-E1452),hydroxypropyl starch,,,,,,,
Synonym,Modified starches (E1404-E1452),hydroxypropyl distarch phosphate,,,,,,,
Synonym,Modified starches (E1404-E1452),starch sodium octenyl succinate,,,,,,,
Synonym,Modified starches (E1404-E1452),acetylated oxidised starch,,,,,,,
